,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"IBM
4.1",Data Scientist,Ahmedabad,"Introduction
IBM Ecosystem/Build Lab guides and performs technical build motion activities for IBM's strategic Partners (ISVs - Independent Software Vendors). IBM Build Labs leverages the power and flexibility of IBM's hybrid cloud and AI platforms for development, deployment and get-to-market validation, transforming partner products into innovative joint solutions. With Red Hat OpenShift, IBM Cloud Paks and the entire IBM Cloud and AI portfolio. Modernized products can then run on virtually any platform, opening up new market opportunities and competitive advantages for partners — and their clients — not to mention the support and community of the IBM partner ecosystem

IBM Build Labs architects and developers can help Partners grow skills and advance solutions with essential capabilities in cloud, data, AI, security and more, on the most open and powerful hybrid cloud platform available. Collaborative activities include Proofs of Concept, Minimum Viable Product, Customer Ready Products and Workshops.

Your Role and Responsibilities
As Build Labs Team Senior Data Scientist, you will support the creation of cloud applications that work smarter and more effectively by infusing data science workflows to extract business insights from data. These insights will drive increased value – for many of the biggest and most complex ISV partner applications. You will work with a team of engineers with expertise in industry-leading Cloud platforms and technologies to implement these transformations.

To succeed, you will become a trusted collaborator with ISV partner developers and data scientists as they move their technologies and offerings to IBM software solutions across multi-cloud platforms. You will have an opportunity to consult and provide guidance to ISV partners as they integrate their products, services and offerings to IBM software solutions across multi-cloud platforms.

This role will interface with marketing, expert services, development, other IBM delivery organizations and business development leaders to ensure successful outcomes. Candidates must be comfortable working in a dynamic and rapidly evolving agile work environment.

This is an opportunity for you to help IBM and external partners succeed in growing cloud presence.

As a Data Scientist on the Build Labs team, you will:
Assist partners in defining, designing, implementing and deploying machine learning technologies in their product
Participate in engagements with partners
Enable partners on IBM's Data/AI technologies, products
Effectively lead projects with multiple technical teams and IBM Partners across geographies
Capture best practices for ML, Data/AI technologies, create documentation like articles, tutorials, and hands-on workshops & demos
Demonstrate your passion to understand and learn new technologies, to innovate and improve quality of service


Required Technical and Professional Expertise
Required skills - 5+ experience with Data science or data engineering projects
Experianceworking on enagements for data science, conceptualisation of use cases and experience in design, build, train and deploy ML components
Expertise working with open source packages in NLP, Timeseries etc.
Expertise with development in a data science programming language like Python or R
Experience running and statistically evaluating models used in Machine Learning, Optimization, Neural Networks
Experience with ETL tools & Data warehouses
Experience using SQL and good RDBMS conceptual knowledge
Experience in Data and AI offerings on Public clouds (AWS, Azure, Google etc.)
Experience with ADO or Jenkins for CI/CD- Must have one or more of the following customer-facing roles in work history:
Understanding of data science open source technologies including Python, Jupyter notebooks, Pytorch , TensorFlow and Spark
Professional/lab services, technical sales, support, ISV, or business partner focal
Successful completion of a delivered customer project as a developer or data specialist
Comfortable interacting with ISV and/or external customer
You should be familiar with IBM software solutions across multi-cloud platforms and Red Hat OpenShift platforms or other public cloud platforms.
Ability to understand and learn new technologies quickly
Must exhibit excellent written and verbal English communication skills
Background
Bacheloers or Masters Degree in Stats or Maths

Preferred Technical and Professional Expertise
3+ years of experience in Big Data technologies (Hadoop, Spark)
Expertise with Jupyter notebooks
Experience with deep learning models using Keras
Deep Understanding of Statistical Machine Learning Models with Python or R
Experience with Watson Studio and IBM AI API
Understanding of data science open source technologies including Python, Jupyter notebooks, TensorFlow, and Spark
Big Data Certifications on Cloudera/Hortonworks/AWS/GCP/Azure
Experience with AI Fairness 360 toolkit and/or Watson OpenScale
Experience with IBM software solutions across multi-cloud platforms Pak for Data
Experience as a client or ISV developer advocate
Experience in Data and AI offerings on Public clouds (AWS, Azure, Google etc.)
Experience with Databases and Data engineering

About Business Unit
IBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The company’s Global Markets organization is a strategic sales business unit that manages IBM’s global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.
This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date. During the Onboarding process you will be asked to confirm your vaccination status, in case you are unable to get vaccinated for any reason, you can let us know at that stage. Please let us know if you are unable to be vaccinated due to medical or religious reasons. IBM will consider such requests on a case by case basis subject to submission of required proof by the candidate before a stipulated date.

Your Life @ IBM
In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.
Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.
Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.
Are you ready to be an IBMer?
This job requires you to provide your COVID-19 vaccination status with supporting documentation, where legally permissible.

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
Start your job application: click Apply Now
Show Less
Report","₹6,20,059 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD)
1,TheHive,Data Scientist,Remote,"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms
 Combine models through ensemble modeling
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with engineering and product development teams
Skills:
 Proven experience as a Data Scientist or Data Analyst
 Experience in data mining
 Understanding of machine-learning and operations research
 Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
 Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
 Analytical mind and business acumen
 Strong math skills (e.g. statistics, algebra)
 Problem-solving aptitude
 Excellent communication and presentation skills
 BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Job Types: Full-time, Contractual / Temporary
Salary: ₹150,000.00 - ₹250,000.00 per month
Schedule:
Monday to Friday
Night shift
US shift
Show Less
Report","$2,00,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,"Ataloud Technologies
5.0",Data Scientist,Remote,"Job Description
This is a remote position.
At Ataloud, We are lookign for Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.


In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.


Your goal will be to develop high performance, distributed computing tasks using Big Data technologies such as Hadoop, NoSQL, text mining and other distributed environment technologies based on the needs of the organization. Designs and drives the creation of new standards and best practices in the use of statistical data modeling, big data and optimization too



Requirements

Hands on experience Python scripting
Experience / Strong Knowledge of Regression/ Linear Analysis
Familiarity with any of Deep Learning, Distributed RF, Generalized Linear Model, K- Mean and naive Bayes
Familiarity with designing algorithms on Hadoop ecosystem
Experience / Strong Knowledge with recommendation systems
A strong passion for empirical research and for answering hard questions with data
Excellent written and verbal communication skills

Industry
IT Services
Remote Job
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Internet & Web Services,2021,$1 to $5 million (USD)
3,BoldTek India Private Limited,Jr. Data Scientist/ ML Engineer,Guwahati,"Jr. Data Scientist/ ML Engineer
Skill Requirements
0-1 year of experience as a Data Scientist/ML Engineer
Hands-on development experience using Python and various libraries related to data science/analytics framework, and Text/String processing libraries
Knowledge of R, SQL, Python, API; familiarity with Scala, Java or C# is an asset
Experience in various machine learning libraries- Tensor Flow, scikit-learn, PyTorch, ML.NET etc
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop/Spark)
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Knowledge of model deployment and Cloud service such as AWS, Azure, GCP etc.
Strong practical experience in understanding business process, capturing complex client business requirements, develop and propose architecture/designs to clients, develop detail features/requirements and perform development/test
Problem-solving aptitude with analytical mind and business acumen
Strong in verbal and written communication
Job Responsibilities
Responsible to understand existing solution architecture/framework, ability to work with clients around the globe to develop new requirement
Propose solutions and strategies to business challenges
Identify valuable data sources and automate data collection processes
Undertake preprocessing of structured and unstructured data to discover trends and patterns
Build custom predictive models and machine-learning algorithms
Deploy ML model and solution on cloud/local server
May require some travels (domestic, international)
Qualifications
A Degree in computer science engineering, or equivalent technical degree
Any Data science certification will be a plus
Nice to have
Working experience in development projects and maintaining relationship with international clients
Working experience in Agile application development methodology
Job Types: Full-time, Fresher
Salary: ₹20,000.00 - ₹25,000.00 per month
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Monday to Friday
Supplemental pay types:
Yearly bonus
Experience:
total work: 1 year (Preferred)
Show Less
Report","₹22,500 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,Pearl Technologies Ltd.,Data Scientist,Remote,"Pearl Technologies invests time and support into its employees to provide them with the room to learn and grow their expertise and work their way up. We are entrepreneurial-minded organization that welcomes and support individual idea and strategies.
We are currently expanding and looking to add a motivated and experienced Data Scientist to our team in Chandigarh location.
Responsibilities:
Understand the business requirements and processes around advanced analytics model execution.
Collect data from disparate structured and unstructured sources in support of model development.
Extract data using data mining techniques to uncover trends and derive insights; analyze forecasting metrics,
Perform exploratory data analysis with the goal to uncover trends, find root causes of forecast inaccuracies and develop innovative features that can drive additional value
Build machine learning models with advanced analytics techniques to extend our capabilities and deliver new business value.
Capture and present data-driven business insights
Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation
Work closely with software engineering teams to drive real-time model implementations and new feature creations
Leverage existing data sources, identify and mine data from new sources, identify opportunities for and execute primary data gathering efforts, and provide recommendations on scaling new methods more broadly
Requirements
University degree or equivalent in data analytics, statistics, math, or computer science, with a minimum of 3 years relevant experience.
Must have experience with cloud offerings such as Azure Data Lake/ Data bricks/ AWS ML AI services.
Experience on Azure ML Studio is Preferred.
Excellent analytical, storytelling, and problem-solving skills.
Ability to translate/communicate analytics recommendations to both technical and nontechnical team members.
Strong understanding of quantitative (univariate and multivariate) analysis techniques.
Experience with predictive modelling and machine learning.
Strong experience with statistical analytical techniques, data mining, machine learning, and predictive models using Python, R or similar tools
Experience using scripting language for collecting, organizing and manipulating data.
Ability to work with data with significant ambiguity, develop creative approaches to analytical problems, and interpret data and results from a business/industry perspective
Job Types: Full-time, Regular / Permanent
Work Location: Remote
Show Less
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,Webtunix AI,Data Scientist,India,"Expert level proficiency in SQL scripting for RDBMS and NoSQL DBs (especially MongoDB)
Tracking and insights on key metrics around User Journey, User Retention, Churn Modelling, and Prediction, etc.
Highly skilled in data structures and ML algorithms - ability to create efficient solutions to complex problems.
Experience of working on end-to-end data science pipeline: problem scoping, data gathering, EDA, modeling, insights, visualizations, monitoring, and maintenance.
Proficient in creating beautiful Tableau dashboards.
Problem-solving Ability to break the problem into small parts and apply relevant techniques to drive required outcomes.
Intermediate to advanced knowledge of machine learning, probability theory, statistics, and algorithms. You will be required to discuss and use various algorithms and approaches on a daily basis.
Proficient in at least a few of the following: regression, Bayesian methods, tree-based learners, SVM, RF, xgboost, time series modeling, GLM, GLMM, clustering, deep learning, etc. Good To Have
Experience in one of the upcoming technologies like deep learning, recommender systems, etc.
Experience of working in the Gaming domain
Marketing analytics, cross-sell, up-sell, campaign analytics, fraud detection
Experience in building and maintaining Data Warehouses in AWS will be a big plus
Job Type: Full-time
Schedule:
Flexible shift
Morning shift
Ability to commute/relocate:
Mohali, Sahibzada Ajit Singh Nagar - 160055, Punjab: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data science: 1 year (Preferred)
Work Location: One location
Speak with the employer
+91 9872993778
Show Less
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,STRYDO TECHNOLOGIES PVT.LTD,Data Scientist,Tirupati,"We are looking for an expert in machine learning to help us extract value from our data. You will lead all the processes from data collection, cleaning, and pre-processing, to training models and deploying them to production.
The ideal candidate will be passionate about artificial intelligence and stay up-to-date with the latest developments in the field.
Job Type: Full-time
Schedule:
Day shift
Show Less
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,"Airtel India
4.2",Data Scientist,Gurgaon,"About the Role
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
Will be responsible for handling new OSS implementation as well as resolving NBI issues.
Ensuring guidelines for the user administration on 400 EMS/NMS instances.
Will be responsible for the proactive health checkup of all NMS/EMS instances.

Apply Now: click Apply Now
Show Less
Report","₹6,84,628 /yr (est.)",10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,#N/A,$10+ billion (USD)
8,"PAGO Analytics
4.8",Data Scientist Intern,Hyderābād,"0-1 Years
Hyderabad | Full-Time Internship | Stipend - Performance-Based | Work from Office
Dec 19,2022 10:38:35
Job Title: Data Scientist Intern
Position Type: FullTime
Experience: 0 - 1 Years
Location Hyderabad | Full-Time Internship | Stipend - Performance-Based | Work from Office
Job Status Active
Job Description:
As a Data Scientist Intern, you will be responsible for compiling actionable insights from data and assisting program, sales, and marketing managers build data-driven processes. Your role will involve driving initiatives to optimize for operational excellence and revenue.


Keyskills
Responsibilities:-
Ensure that data flows smoothly from source to destination so that it can be processed
Utilize strong database skills to work with large, complex data sets to extract insights
Filter and cleanse unstructured (or ambiguous) data into usable data sets that can be analyzed to extract insights and improve business processes
Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data infrastructure
Build tools for automating repetitive tasks so that bandwidth can be freed for analytics
Collaborate with program managers and business analysts to help them come up with actionable, high-impact insights across product lines and functions
Work closely with top management to prioritize information and analytic needs
Requirements
Bachelors or Masters (Pursuing or Graduated) in a quantitative field (such as Engineering, Statistics, Math, Economics, or Computer Science with Modeling/Data Science), preferably with work experience of over [X] years.
The ability to program in any high-level language is required. Familiarity with R and statistical packages is preferred.
Proven problem-solving and debugging skills.
Familiar with database technologies and tools (SQL/R/SAS/JMP etc.), data warehousing, transformation, and processing. Work experience with real data for customer insights, business, and market analysis will be advantageous.
Experience with text analytics, data mining, and social media analytics.
Statistical knowledge in standard techniques: Logistic Regression, Classification models, Cluster Analysis, Neural Networks, Random Forests, Ensembles, etc.
Show Less
Report",#N/A,51 to 200 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
9,"Kmart
3.4",Data Scientist,Bangalore,"Brighter futures start here
Anko is the global capability centre for Kmart Group Australia, fuelling growth aspirations of iconic Australian retail brands Kmart, Target and Anko. Based in Bangalore, India, we strive to accelerate retail innovation by building competitive capabilities in Technology, Data Sciences and Business Services that enable our brands to deliver delightful experiences to our in-store and online customers
Join our team, choose your own path and work on projects that excite you.
What you’ll be doing

Basic understanding of Cloud (AWS, Azure, etc.).
Develop & maintain data science solutions to drive incremental value for the Kmart GroupHypotheses driven solutioning to data science problemsAnalyse and model structured/unstructured data using advanced statistical methodsCommunicate findings to internal teams to enable business
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies.
Data Management Skills using SQL
Basic understanding of statistical alorithms and programming in a language such as R, Python, or SAS, SPSS, MATLAB

Desired qualification and work experience

Develop & maintain data science solutions to drive incremental value for the Kmart Group
Hypotheses driven solutioning to data science problems
Analyse and model structured/unstructured data using advanced statistical methods
Communicate findings to internal teams to enable business

Technical Skills

To be successful in this role you will require the following attributes:
Detail-oriented team player with strong interpersonal skills
Hypotheses driven solutioning
Inquisitivness balanced with commitment to timelines
Fluent in verbal and written communication(English)

A place you can belong

We celebrate the rich diversity of the communities in which we operate and are committed to creating inclusive and safe environments where all our team members can contribute and succeed. We believe that all team members should feel valued, respected, and safe irrespective of your gender, ethnicity, indigeneity, religious beliefs, education, age, disability, family responsibilities, sexual orientation and gender identity and we encourage applications from all candidates.
Show Less
Report","₹3,32,718 /yr (est.)",10000+ Employees,Subsidiary or Business Segment,Retail & Wholesale,General Merchandise & Superstores,1899,$5 to $10 billion (USD)
