company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,monthly,company_txt,age,python_yn,R_yn,spark,aws,excel
"IBM
4.1",Data Scientist,Ahmedabad,"Introduction
IBM Ecosystem/Build Lab guides and performs technical build motion activities for IBM's strategic Partners (ISVs - Independent Software Vendors). IBM Build Labs leverages the power and flexibility of IBM's hybrid cloud and AI platforms for development, deployment and get-to-market validation, transforming partner products into innovative joint solutions. With Red Hat OpenShift, IBM Cloud Paks and the entire IBM Cloud and AI portfolio. Modernized products can then run on virtually any platform, opening up new market opportunities and competitive advantages for partners — and their clients — not to mention the support and community of the IBM partner ecosystem

IBM Build Labs architects and developers can help Partners grow skills and advance solutions with essential capabilities in cloud, data, AI, security and more, on the most open and powerful hybrid cloud platform available. Collaborative activities include Proofs of Concept, Minimum Viable Product, Customer Ready Products and Workshops.

Your Role and Responsibilities
As Build Labs Team Senior Data Scientist, you will support the creation of cloud applications that work smarter and more effectively by infusing data science workflows to extract business insights from data. These insights will drive increased value – for many of the biggest and most complex ISV partner applications. You will work with a team of engineers with expertise in industry-leading Cloud platforms and technologies to implement these transformations.

To succeed, you will become a trusted collaborator with ISV partner developers and data scientists as they move their technologies and offerings to IBM software solutions across multi-cloud platforms. You will have an opportunity to consult and provide guidance to ISV partners as they integrate their products, services and offerings to IBM software solutions across multi-cloud platforms.

This role will interface with marketing, expert services, development, other IBM delivery organizations and business development leaders to ensure successful outcomes. Candidates must be comfortable working in a dynamic and rapidly evolving agile work environment.

This is an opportunity for you to help IBM and external partners succeed in growing cloud presence.

As a Data Scientist on the Build Labs team, you will:
Assist partners in defining, designing, implementing and deploying machine learning technologies in their product
Participate in engagements with partners
Enable partners on IBM's Data/AI technologies, products
Effectively lead projects with multiple technical teams and IBM Partners across geographies
Capture best practices for ML, Data/AI technologies, create documentation like articles, tutorials, and hands-on workshops & demos
Demonstrate your passion to understand and learn new technologies, to innovate and improve quality of service


Required Technical and Professional Expertise
Required skills - 5+ experience with Data science or data engineering projects
Experianceworking on enagements for data science, conceptualisation of use cases and experience in design, build, train and deploy ML components
Expertise working with open source packages in NLP, Timeseries etc.
Expertise with development in a data science programming language like Python or R
Experience running and statistically evaluating models used in Machine Learning, Optimization, Neural Networks
Experience with ETL tools & Data warehouses
Experience using SQL and good RDBMS conceptual knowledge
Experience in Data and AI offerings on Public clouds (AWS, Azure, Google etc.)
Experience with ADO or Jenkins for CI/CD- Must have one or more of the following customer-facing roles in work history:
Understanding of data science open source technologies including Python, Jupyter notebooks, Pytorch , TensorFlow and Spark
Professional/lab services, technical sales, support, ISV, or business partner focal
Successful completion of a delivered customer project as a developer or data specialist
Comfortable interacting with ISV and/or external customer
You should be familiar with IBM software solutions across multi-cloud platforms and Red Hat OpenShift platforms or other public cloud platforms.
Ability to understand and learn new technologies quickly
Must exhibit excellent written and verbal English communication skills
Background
Bacheloers or Masters Degree in Stats or Maths

Preferred Technical and Professional Expertise
3+ years of experience in Big Data technologies (Hadoop, Spark)
Expertise with Jupyter notebooks
Experience with deep learning models using Keras
Deep Understanding of Statistical Machine Learning Models with Python or R
Experience with Watson Studio and IBM AI API
Understanding of data science open source technologies including Python, Jupyter notebooks, TensorFlow, and Spark
Big Data Certifications on Cloudera/Hortonworks/AWS/GCP/Azure
Experience with AI Fairness 360 toolkit and/or Watson OpenScale
Experience with IBM software solutions across multi-cloud platforms Pak for Data
Experience as a client or ISV developer advocate
Experience in Data and AI offerings on Public clouds (AWS, Azure, Google etc.)
Experience with Databases and Data engineering

About Business Unit
IBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The company’s Global Markets organization is a strategic sales business unit that manages IBM’s global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.
This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date. During the Onboarding process you will be asked to confirm your vaccination status, in case you are unable to get vaccinated for any reason, you can let us know at that stage. Please let us know if you are unable to be vaccinated due to medical or religious reasons. IBM will consider such requests on a case by case basis subject to submission of required proof by the candidate before a stipulated date.

Your Life @ IBM
In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.
Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.
Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.
Are you ready to be an IBMer?
This job requires you to provide your COVID-19 vaccination status with supporting documentation, where legally permissible.

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
To apply to this job, click Apply Now
Show Less
Report","₹6,20,059 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,0,IBM,111,1,0,1,1,1
TheHive,Data Scientist,Remote,"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms
 Combine models through ensemble modeling
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with engineering and product development teams
Skills:
 Proven experience as a Data Scientist or Data Analyst
 Experience in data mining
 Understanding of machine-learning and operations research
 Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
 Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
 Analytical mind and business acumen
 Strong math skills (e.g. statistics, algebra)
 Problem-solving aptitude
 Excellent communication and presentation skills
 BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Job Types: Full-time, Contractual / Temporary
Salary: ₹150,000.00 - ₹250,000.00 per month
Schedule:
Monday to Friday
Night shift
US shift
Show Less
Report","$2,00,000 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,TheHive,-1,1,0,0,0,1
BoldTek India Private Limited,Jr. Data Scientist/ ML Engineer,Guwahati,"Jr. Data Scientist/ ML Engineer
Skill Requirements
0-1 year of experience as a Data Scientist/ML Engineer
Hands-on development experience using Python and various libraries related to data science/analytics framework, and Text/String processing libraries
Knowledge of R, SQL, Python, API; familiarity with Scala, Java or C# is an asset
Experience in various machine learning libraries- Tensor Flow, scikit-learn, PyTorch, ML.NET etc
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop/Spark)
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Knowledge of model deployment and Cloud service such as AWS, Azure, GCP etc.
Strong practical experience in understanding business process, capturing complex client business requirements, develop and propose architecture/designs to clients, develop detail features/requirements and perform development/test
Problem-solving aptitude with analytical mind and business acumen
Strong in verbal and written communication
Job Responsibilities
Responsible to understand existing solution architecture/framework, ability to work with clients around the globe to develop new requirement
Propose solutions and strategies to business challenges
Identify valuable data sources and automate data collection processes
Undertake preprocessing of structured and unstructured data to discover trends and patterns
Build custom predictive models and machine-learning algorithms
Deploy ML model and solution on cloud/local server
May require some travels (domestic, international)
Qualifications
A Degree in computer science engineering, or equivalent technical degree
Any Data science certification will be a plus
Nice to have
Working experience in development projects and maintaining relationship with international clients
Working experience in Agile application development methodology
Job Types: Full-time, Fresher
Salary: ₹20,000.00 - ₹25,000.00 per month
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Monday to Friday
Supplemental pay types:
Yearly bonus
Experience:
total work: 1 year (Preferred)
Show Less
Report","₹22,500 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,BoldTek India Private Limited,-1,1,0,1,1,0
"Kmart
3.4",Data Scientist,Bangalore,"Brighter futures start here
Anko is the global capability centre for Kmart Group Australia, fuelling growth aspirations of iconic Australian retail brands Kmart, Target and Anko. Based in Bangalore, India, we strive to accelerate retail innovation by building competitive capabilities in Technology, Data Sciences and Business Services that enable our brands to deliver delightful experiences to our in-store and online customers
Join our team, choose your own path and work on projects that excite you.
What you’ll be doing

Basic understanding of Cloud (AWS, Azure, etc.).
Develop & maintain data science solutions to drive incremental value for the Kmart GroupHypotheses driven solutioning to data science problemsAnalyse and model structured/unstructured data using advanced statistical methodsCommunicate findings to internal teams to enable business
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies.
Data Management Skills using SQL
Basic understanding of statistical alorithms and programming in a language such as R, Python, or SAS, SPSS, MATLAB

Desired qualification and work experience

Develop & maintain data science solutions to drive incremental value for the Kmart Group
Hypotheses driven solutioning to data science problems
Analyse and model structured/unstructured data using advanced statistical methods
Communicate findings to internal teams to enable business

Technical Skills

To be successful in this role you will require the following attributes:
Detail-oriented team player with strong interpersonal skills
Hypotheses driven solutioning
Inquisitivness balanced with commitment to timelines
Fluent in verbal and written communication(English)

A place you can belong

We celebrate the rich diversity of the communities in which we operate and are committed to creating inclusive and safe environments where all our team members can contribute and succeed. We believe that all team members should feel valued, respected, and safe irrespective of your gender, ethnicity, indigeneity, religious beliefs, education, age, disability, family responsibilities, sexual orientation and gender identity and we encourage applications from all candidates.
Show Less
Report","₹3,32,718 /yr (est.)",10000+ Employees,Subsidiary or Business Segment,Retail & Wholesale,General Merchandise & Superstores,1899,$5 to $10 billion (USD),0,0,Kmart,123,1,0,0,1,0
"Airtel India
4.2",Data Scientist,Gurgaon,"About the Role
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
Will be responsible for handling new OSS implementation as well as resolving NBI issues.
Ensuring guidelines for the user administration on 400 EMS/NMS instances.
Will be responsible for the proactive health checkup of all NMS/EMS instances.

Apply Now: click Apply Now
Show Less
Report","₹6,84,628 /yr (est.)",10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,-1,$10+ billion (USD),0,0,Airtel India,-1,0,0,0,0,0
"Mercedes-Benz Research and Development India Private Limited
4.2",Data Scientist,Bangalore,"Aufgaben
The role is that of an individual contributor who is capable of taking responsibility / owning the complete data science POC/ project lifecycle based on CRISP DM framework
Understand business objective and translate it to Data science objective
Lead client discussions and brainstorm for ideas to solve business problems
Identify data sources, perform EDA , data cleaning and transformations for ML / DL models
Build ML / DL models hands on
Evaluate ML models and generate appropriate metrics for validation
Create necessary documentation and provide KT for deployment team to create apis for ML application
Constantly learn the latest updates in the ML / DL space and implement solutions accordingly
Recommend best practices for deployment in terms of infrastructure / technology required etc.
Act as an AI evangelist to stress the importance of AI / Data science within the dept. / team
Qualifikationen
A self-starter with a proven track record of working independently in developing Data science solutions
Experience working in a good mix structured and unstructured (NLP/image) data science projects
Advanced working knowledge in Python and ML / DL frameworks like tensorflow / Pytorch / OpenCV
Good conceptual understanding of ML / DL algorithms
Good experience with version control tools – GIT
Basic knowledge of model deployment

Good to have :

Experience working with Azure cloud tech stack (databricks / ADLS etc.)
Experience building models in distributed computing (preferably pyspark)
Experience building AI models @ scale for auto / Manufacturing domain
Show Less
Report","₹6,38,749 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1886,Unknown / Non-Applicable,0,0,Mercedes-Benz Research and Development India Private Limited,136,1,0,1,0,0
Bipin Jha Consultancy,Data Scientist,Bangalore,"Looking for:
Quick Learners
Prior knowledge of ReactJS is a must
Comfortable with ""Build fast and iterate""
Project members at Sugarfit don’t own code. They own features and technologies. This requires understanding of product and business requirements and owning end to end execution of app features
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Collaborate with engineering team to bring analytical prototypes to production
Generate actionable insights for business improvements
Skills:
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
At least 3 years' of experience in quantitative analytics or data modeling
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Fluency in a programming language (Python, C,C++, Java, SQL)
Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)
Job Type: Full-time
Salary: ₹2,500,000.00 - ₹3,500,000.00 per year
Benefits:
Provident Fund
Work from home
Schedule:
Day shift
Supplemental pay types:
Yearly bonus
Ability to commute/relocate:
Banglore, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 2 years (Required)
Speak with the employer
+91 9588455196
Show Less
Report","₹30,00,000 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,Bipin Jha Consultancy,-1,1,0,1,0,1
GSN Solutions LLC (Pyx Tech Pvt Ltd),Data Scientist,Pune,"Company summary -
Pyx Tech, headquartered in Austin, Texas is a leading provider of technology-based solutions and services for global OEMs across key industries including High Tech, Retail, Supply Chain and After market services. Innovation starts with inclusion at Pyx Tech, where everyone's voice is heard, and diversity is valued. A chance not to be a spoke in the wheel, but an opportunity to help create new wheels of innovation. The ideal candidates are enthusiastic and motivated persons with a passion for creating lasting customer experiences and are able to respond quickly to multiple project needs. They will work closely with Customers, Product Managers, Operations and will design, develop, and implement solutions using the latest technology and tools. We believe in a learning culture where all team members have the opportunity to grow their skills and experiences. We are looking for the best candidates to help us create the future and make a difference.
Responsibilities
Gather and analyze data, using various types of analytics and reporting tools to detect patterns, trends, and relationships in data sets
Establish best practices for collecting data using analysis tools, and interpreting data
Process, cleanse, and verify the integrity of data used for analysis
Perform ad-hoc analysis and present results in a clear manner using appropriate medium
Process / mine huge volumes of structured, semi-structured and unstructured data using state of-the- art methods to derive meaningful insights in an appropriate format
Recommend tools, techniques, and practices across organization to enhance knowledge
Create complex predictive models using ML techniques and relevant tools.
Skillset Required / Mandatory
Excellent knowledge of Statistics, especially distributions, likelihood estimators, etc.
Hands on experience withone of these programming languages: Python / R
Extensive knowledge of Machine Learning concepts and techniques, along with knowledge of various algorithms and their use cases
Experience in using Business Intelligence (BI) tools like Tableau (or equivalent)
Hands onexperience in using SQL programming with Microsoft SQL Server / MySQL
Excellent documentation skills, including advanced use of Microsoft Excel, Word, and PowerPoint
Ability to work independently with minimum input or assistance
Ability to effectively communicate with all levels of audience – business and technical
Qualifications
* Bachelor's degree in Engineering or equivalent, Master’s degree will have additional
weightage
* Minimum 10+ years of experience working in enterprise projects / programs that
involve extensive dataprocessing andanalysis
* Data Scientist certification from reputed institution / university is desirable
If interested ,Please share your cv asap .
Regards
Preeti Sawant
Pyx Tech Pvt Ltd
Job Type: Full-time
Salary: ₹1,800,000.00 - ₹3,500,000.00 per year
Benefits:
Flexible schedule
Health insurance
Internet reimbursement
Leave encashment
Provident Fund
Work from home
Schedule:
Day shift
Monday to Friday
Experience:
total work: 10 years (Preferred)
Statistics: 10 years (Preferred)
Machine learning: 10 years (Preferred)
Python/R: 10 years (Preferred)
SQL programming: 10 years (Preferred)
Tableau: 10 years (Preferred)
Business Intelligence: 10 years (Preferred)
Speak with the employer
+91 9284564155
Show Less
Report","₹26,50,000 /yr (est.)",Unknown,Company - Public,-1,-1,-1,Unknown / Non-Applicable,0,0,GSN Solutions LLC (Pyx Tech Pvt Ltd),-1,1,0,0,0,1
Eduzell Technologies and Solutions LLP,DATA SCIENCE INTERNSHIP,Eranakulam,"We are hiring candidates for a Free Data Science internship program Which includes 6 months training+3 months internship. Completely free of cost. 100% placement assurance.
job location: Ernakulam
Contact for further details.
Job Type: Full-time
Salary: From ₹13,000.00 per month
Benefits:
Paid sick time
Paid time off
Schedule:
Flexible shift
Supplemental pay types:
Commission pay
Ability to commute/relocate:
Kochi, Ernakulam - 682015, Kerala: Reliably commute or planning to relocate before starting work (Required)
Education:
Secondary(10th Pass) (Required)
Show Less
Report","₹13,000 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,Eduzell Technologies and Solutions LLP,-1,0,0,0,0,0
"Infiniti Research
4.0",Data Scientist,Bangalore,"We are currently looking for Python Developer + Data Science with 2+ years of work experience with good communication and strong technical skills.
Designation: Software Engineer Role
Skills Required:
Sound grip on Python Basics and fundamentals
Basic level understanding on Database CRUD operation via Python
Sound understanding in Data Analysis and developing Machine Learning Algorithms
Familiar with DNN / NLP / SOTA Models
Familiar with Scraping via python
Job Type: Full-time
Schedule:
Morning shift
Ability to commute/relocate:
Bangalore, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
understanding of NLP, rate yourself out of 5
Experience:
total work: 1 year (Preferred)
Python: 1 year (Preferred)
scraping using python: 1 year (Preferred)
Show Less
Report","₹7,79,981 /yr (est.)",501 to 1000 Employees,Company - Private,Management & Consulting,Business Consulting,2003,Unknown / Non-Applicable,0,0,Infiniti Research,19,1,0,0,0,0
